hsa:645954;SVILP1;supervillin pseudogene 1
hsa:8317;CDC7,CDC7L1,HsCDC7,Hsk1,huCDC7;cell division cycle 7 (EC:2.7.11.1)
hsa:10197;PSME3,Ki,PA28-gamma,PA28G,PA28gamma,REG-GAMMA;proteasome (prosome, macropain) activator subunit 3 (PA28 gamma;Ki)
hsa:4137;MAPT,DDPAC,FTDP-17,MAPTL,MSTD,MTBT1,MTBT2,PPND,TAU;microtubule-associated protein tau
hsa:2150;F2RL1,GPR11,PAR2;coagulation factor II (thrombin) receptor-like 1
hsa:203859;ANO5,GDD1,LGMD2L,TMEM16E;anoctamin 5
hsa:8239;USP9X,DFFRX,FAF,FAM;ubiquitin specific peptidase 9, X-linked (EC:3.4.19.12)
hsa:103;ADAR,ADAR1,AGS6,DRADA,DSH,DSRAD,G1P1,IFI-4,IFI4,K88DSRBP,P136;adenosine deaminase, RNA-specific
hsa:3927;LASP1,Lasp-1,MLN50;LIM and SH3 protein 1
hsa:2277;FIGF,VEGF-D,VEGFD;c-fos induced growth factor (vascular endothelial growth factor D)
hsa:56147;PCDHA1,PCDH-ALPHA1;protocadherin alpha 1
hsa:4683;NBN,AT-V1,AT-V2,ATV,NBS,NBS1,P95;nibrin
hsa:4653;MYOC,GLC1A,GPOA,JOAG,JOAG1,TIGR,myocilin;myocilin, trabecular meshwork inducible glucocorticoid response
hsa:6386;SDCBP,MDA-9,ST1,SYCL,TACIP18;syndecan binding protein (syntenin)
hsa:3169;FOXA1,HNF3A,TCF3A;forkhead box A1
hsa:8726;EED,HEED,WAIT1;embryonic ectoderm development
hsa:10181;RBM5,G15,LUCA15,RMB5;RNA binding motif protein 5
hsa:10059;DNM1L,DLP1,DRP1,DVLP,DYMPLE,DYNIV-11,EMPF,HDYNIV,VPS1;dynamin 1-like (EC:3.6.5.5)
hsa:1777;DNASE2,DNASE2A,DNL,DNL2;deoxyribonuclease II, lysosomal (EC:3.1.22.1)
hsa:2641;GCG,GLP1,GLP2,GRPP;glucagon
hsa:990;CDC6,CDC18L,HsCDC18,HsCDC6;cell division cycle 6
hsa:200186;CRTC2,TORC-2,TORC2;CREB regulated transcription coactivator 2
hsa:1816;DRD5,DBDR,DRD1B,DRD1L2;dopamine receptor D5
hsa:3099;HK2,HKII,HXK2;hexokinase 2 (EC:2.7.1.1)
hsa:2693;GHSR;growth hormone secretagogue receptor
hsa:5514;PPP1R10,CAT53,FB19,PNUTS,PP1R10,R111,p99;protein phosphatase 1, regulatory subunit 10
hsa:941;CD80,B7,B7-1,B7.1,BB1,CD28LG,CD28LG1,LAB7;CD80 molecule
hsa:6708;SPTA1,EL2,HPP,HS3,SPH3,SPTA;spectrin, alpha, erythrocytic 1 (elliptocytosis 2)
hsa:121256;TMEM132D,MOLT;transmembrane protein 132D
hsa:1030;CDKN2B,CDK4I,INK4B,MTS2,P15,TP15,p15INK4b;cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
hsa:4286;MITF,CMM8,MI,WS2,WS2A,bHLHe32;microphthalmia-associated transcription factor
hsa:4288;MKI67,KIA;antigen identified by monoclonal antibody Ki-67
hsa:5587;PRKD1,PKC-MU,PKCM,PKD,PRKCM;protein kinase D1 (EC:2.7.11.13)
hsa:5881;RAC3;ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
hsa:6531;SLC6A3,DAT,DAT1,PKDYS;solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
hsa:1147;CHUK,IKBKA,IKK-alpha,IKK1,IKKA,NFKBIKA,TCF16;conserved helix-loop-helix ubiquitous kinase (EC:2.7.11.10)
hsa:26136;TES,TESS,TESS-2;testis derived transcript (3 LIM domains)
hsa:12;SERPINA3,AACT,ACT,GIG25;serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
hsa:977;CD151,GP27,MER2,PETA-3,RAPH,SFA1,TSPAN24;CD151 molecule (Raph blood group)
hsa:26047;CNTNAP2,AUTS15,CASPR2,CDFE,NRXN4,PTHSL1;contactin associated protein-like 2
hsa:4999;ORC2,ORC2L;origin recognition complex, subunit 2
hsa:2729;GCLC,GCL,GCS,GLCL,GLCLC;glutamate-cysteine ligase, catalytic subunit (EC:6.3.2.2)
hsa:2944;GSTM1,GST1,GSTM1-1,GSTM1a-1a,GSTM1b-1b,GTH4,GTM1,H-B,MU,MU-1;glutathione S-transferase mu 1 (EC:2.5.1.18)
hsa:57381;RHOJ,ARHJ,RASL7B,TC10B,TCL;ras homolog family member J
hsa:7148;TNXB,EDS3,HXBL,TENX,TN-X,TNX,TNXB1,TNXB2,TNXBS,XB,XBS;tenascin XB
hsa:200316;APOBEC3F,ARP8,BK150C2.4.MRNA,KA6;apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F
hsa:8945;BTRC,BETA-TRCP,FBW1A,FBXW1,FBXW1A,FWD1,bTrCP,bTrCP1,betaTrCP;beta-transducin repeat containing E3 ubiquitin protein ligase
hsa:4225;MEP1B;meprin A, beta (EC:3.4.24.63)
hsa:1044;CDX1;caudal type homeobox 1
hsa:94101;ORMDL1;ORM1-like 1 (S. cerevisiae)
hsa:11252;PACSIN2,SDPII;protein kinase C and casein kinase substrate in neurons 2
hsa:56925;LXN,ECI,TCI;latexin
hsa:2260;FGFR1,BFGFR,CD331,CEK,FGFBR,FGFR-1,FLG,FLT-2,FLT2,HBGFR,HH2,KAL2,N-SAM,OGD,bFGF-R-1;fibroblast growth factor receptor 1 (EC:2.7.10.1)
hsa:4973;OLR1,CLEC8A,LOX1,LOXIN,SCARE1,SLOX1;oxidized low density lipoprotein (lectin-like) receptor 1
hsa:2152;F3,CD142,TF,TFA;coagulation factor III (thromboplastin, tissue factor)
hsa:5426;POLE,CRCS12,POLE1;polymerase (DNA directed), epsilon, catalytic subunit (EC:2.7.7.7)
hsa:55244;SLC47A1,MATE1;solute carrier family 47, member 1
hsa:5928;RBBP4,NURF55,RBAP48;retinoblastoma binding protein 4
hsa:409;ARRB2,ARB2,ARR2,BARR2;arrestin, beta 2
hsa:9131;AIFM1,AIF,CMTX4,COWCK,COXPD6,PDCD8;apoptosis-inducing factor, mitochondrion-associated, 1
hsa:801;CALM1,CALML2,CAMI,CPVT4,DD132,PHKD,caM;calmodulin 1 (phosphorylase kinase, delta) (EC:2.7.11.19)
hsa:6642;SNX1,HsT17379,VPS5;sorting nexin 1
hsa:710;SERPING1,C1IN,C1INH,C1NH,HAE1,HAE2;serpin peptidase inhibitor, clade G (C1 inhibitor), member 1
hsa:4738;NEDD8,NEDD-8;neural precursor cell expressed, developmentally down-regulated 8
hsa:9258;MFHAS1,LRRC65,MASL1;malignant fibrous histiocytoma amplified sequence 1
hsa:939;CD27,S152,T14,TNFRSF7,Tp55;CD27 molecule
hsa:5781;PTPN11,BPTP3,CFC,NS1,PTP-1D,PTP2C,SH-PTP2,SH-PTP3,SHP2;protein tyrosine phosphatase, non-receptor type 11 (EC:3.1.3.48)
hsa:5732;PTGER2,EP2;prostaglandin E receptor 2 (subtype EP2), 53kDa
hsa:7518;XRCC4;X-ray repair complementing defective repair in Chinese hamster cells 4
hsa:2626;GATA4,ASD2,VSD1;GATA binding protein 4
hsa:90737;PAGE5,CT16,CT16.1,CT16.2,GAGEE1,PAGE-5;P antigen family, member 5 (prostate associated)
hsa:6522;SLC4A2,AE2,BND3L,EPB3L1,HKB3,NBND3;solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)
hsa:1213;CLTC,CHC,CHC17,CLH-17,CLTCL2,Hc;clathrin, heavy chain (Hc)
hsa:7184;HSP90B1,ECGP,GP96,GRP94,TRA1;heat shock protein 90kDa beta (Grp94), member 1
hsa:4790;NFKB1,EBP-1,KBF1,NF-kB1,NF-kappa-B,NF-kappaB,NFKB-p105,NFKB-p50,NFkappaB,p105,p50;nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
hsa:546;ATRX,ATR2,JMS,MRXHF1,RAD54,RAD54L,SFM1,SHS,XH2,XNP,ZNF-HX;alpha thalassemia/mental retardation syndrome X-linked (EC:3.6.4.12)
hsa:6374;CXCL5,ENA-78,SCYB5;chemokine (C-X-C motif) ligand 5
hsa:8301;PICALM,CALM,CLTH,LAP;phosphatidylinositol binding clathrin assembly protein
hsa:4745;NELL1,IDH3GL,NRP1;NEL-like 1 (chicken)
hsa:246;ALOX15,15-LOX-1,15LOX-1;arachidonate 15-lipoxygenase (EC:1.13.11.33)
hsa:10910;SUGT1,SGT1;SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
hsa:23479;ISCU,2310020H20Rik,HML,ISU2,NIFU,NIFUN,hnifU;iron-sulfur cluster scaffold homolog (E. coli)
hsa:23095;KIF1B,CMT2,CMT2A,CMT2A1,HMSNII,KLP,NBLST1;kinesin family member 1B
hsa:8404;SPARCL1,PIG33,SC1;SPARC-like 1 (hevin)
hsa:2695;GIP;gastric inhibitory polypeptide
hsa:6615;SNAI1,SLUGH2,SNA,SNAH,SNAIL,SNAIL1,dJ710H13.1;snail homolog 1 (Drosophila)
hsa:6135;RPL11,DBA7,GIG34,L11;ribosomal protein L11
hsa:3673;ITGA2,BR,CD49B,GPIa,HPA-5,VLA-2,VLAA2;integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
hsa:5423;POLB;polymerase (DNA directed), beta (EC:2.7.7.7)
hsa:2322;FLT3,CD135,FLK-2,FLK2,STK1;fms-related tyrosine kinase 3 (EC:2.7.10.1)
hsa:10592;SMC2,CAP-E,CAPE,SMC-2,SMC2L1;structural maintenance of chromosomes 2
hsa:84464;SLX4,BTBD12,FANCP,MUS312;SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)
hsa:57591;MKL1,BSAC,MAL,MRTF-A;megakaryoblastic leukemia (translocation) 1
hsa:5049;PAFAH1B2;platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa) (EC:3.1.1.47)
hsa:51647;FAM96B,MIP18;family with sequence similarity 96, member B
hsa:3661;IRF3;interferon regulatory factor 3
hsa:4899;NRF1,ALPHA-PAL;nuclear respiratory factor 1
hsa:5071;PARK2,AR-JP,LPRS2,PDJ,PRKN;parkinson protein 2, E3 ubiquitin protein ligase (parkin)
hsa:79923;NANOG;Nanog homeobox
hsa:29127;RACGAP1,CYK4,HsCYK-4,ID-GAP,MgcRacGAP;Rac GTPase activating protein 1
hsa:51206;GP6,BDPLT11,GPIV,GPVI;glycoprotein VI (platelet)
hsa:5335;PLCG1,NCKAP3,PLC-II,PLC1,PLC148,PLCgamma1;phospholipase C, gamma 1 (EC:3.1.4.11)
hsa:9132;KCNQ4,DFNA2,DFNA2A,KV7.4;potassium voltage-gated channel, KQT-like subfamily, member 4
hsa:79915;ATAD5,C17orf41,ELG1,FRAG1;ATPase family, AAA domain containing 5
hsa:10461;MERTK,MER,RP38,c-mer;c-mer proto-oncogene tyrosine kinase (EC:2.7.10.1)
hsa:3690;ITGB3,BDPLT2,CD61,GP3A,GPIIIa,GT;integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
hsa:6318;SERPINB4,LEUPIN,PI11,SCCA-2,SCCA1,SCCA2;serpin peptidase inhibitor, clade B (ovalbumin), member 4
hsa:292;SLC25A5,2F1,AAC2,ANT2,T2,T3;solute carrier family 25 (mitochondrial carrier;adenine nucleotide translocator), member 5
hsa:266;AMELY,AMGL,AMGY;amelogenin, Y-linked
hsa:2908;NR3C1,GCCR,GCR,GR,GRL;nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
hsa:2741;GLRA1,HKPX1,STHE;glycine receptor, alpha 1
hsa:10413;YAP1,YAP,YAP2,YAP65,YKI;Yes-associated protein 1
hsa:11279;KLF8,BKLF3,ZNF741;Kruppel-like factor 8
hsa:22900;CARD8,CARDINAL,DACAR,DAKAR,NDPP,NDPP1,TUCAN;caspase recruitment domain family, member 8
hsa:54822;TRPM7,ALSPDC,CHAK,CHAK1,LTRPC7,TRP-PLIK;transient receptor potential cation channel, subfamily M, member 7 (EC:2.7.11.1)
hsa:1490;CTGF,CCN2,HCS24,IGFBP8,NOV2;connective tissue growth factor
hsa:8293;SERF1A,4F5,FAM2A,H4F5,SERF1,SMAM1;small EDRK-rich factor 1A (telomeric)
hsa:7035;TFPI,EPI,LACI,TFI,TFPI1;tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
hsa:7299;TYR,CMM8,OCA1A,OCAIA,SHEP3;tyrosinase (EC:1.14.18.1)
hsa:7039;TGFA,TFGA;transforming growth factor, alpha
hsa:4982;TNFRSF11B,OCIF,OPG,TR1;tumor necrosis factor receptor superfamily, member 11b
hsa:7422;VEGFA,MVCD1,VEGF,VPF;vascular endothelial growth factor A
hsa:7871;SLMAP,SLAP;sarcolemma associated protein
hsa:23028;KDM1A,AOF2,BHC110,KDM1,LSD1;lysine (K)-specific demethylase 1A
hsa:135;ADORA2A,ADORA2,RDC8,hA2aR;adenosine A2a receptor
hsa:2997;GYS1,GSY,GYS;glycogen synthase 1 (muscle) (EC:2.4.1.11)
hsa:6559;SLC12A3,NCC,NCCT,TSC;solute carrier family 12 (sodium/chloride transporters), member 3
hsa:650;BMP2,BDA2,BMP2A;bone morphogenetic protein 2
hsa:6473;SHOX,GCFX,PHOG,SHOXY,SS;short stature homeobox
hsa:1871;E2F3,E2F-3;E2F transcription factor 3
hsa:8549;LGR5,FEX,GPR49,GPR67,GRP49,HG38;leucine-rich repeat containing G protein-coupled receptor 5
hsa:10006;ABI1,ABI-1,ABLBP4,E3B1,NAP1BP,SSH3BP,SSH3BP1;abl-interactor 1
hsa:23414;ZFPM2,DIH3,FOG2,ZC2HC11B,ZNF89B,hFOG-2;zinc finger protein, FOG family member 2
hsa:9696;CROCC,ROLT;ciliary rootlet coiled-coil, rootletin
hsa:3205;HOXA9,ABD-B,HOX1,HOX1.7,HOX1G;homeobox A9
hsa:476;ATP1A1;ATPase, Na+/K+ transporting, alpha 1 polypeptide (EC:3.6.3.9)
hsa:9784;SNX17;sorting nexin 17
hsa:7057;THBS1,THBS,THBS-1,TSP,TSP-1,TSP1;thrombospondin 1
hsa:3853;KRT6A,CK6A,CK6C,CK6D,K6A,K6C,K6D,KRT6C,KRT6D;keratin 6A
hsa:6566;SLC16A1,HHF7,MCT,MCT1;solute carrier family 16, member 1 (monocarboxylic acid transporter 1)
hsa:81622;UNC93B1,IIAE1,UNC93,UNC93B,Unc-93B1;unc-93 homolog B1 (C. elegans)
hsa:6624;FSCN1,FAN1,HSN,SNL,p55;fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
hsa:11079;RER1;RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)
hsa:694;BTG1;B-cell translocation gene 1, anti-proliferative
hsa:10318;TNIP1,ABIN-1,NAF1,VAN,nip40-1;TNFAIP3 interacting protein 1
hsa:3747;KCNC2,KV3.2;potassium voltage-gated channel, Shaw-related subfamily, member 2
hsa:5371;PML,MYL,PP8675,RNF71,TRIM19;promyelocytic leukemia
hsa:58487;CREBZF,SMILE,ZF;CREB/ATF bZIP transcription factor
hsa:30851;TAX1BP3,TIP-1;Tax1 (human T-cell leukemia virus type I) binding protein 3
hsa:3329;HSPD1,CPN60,GROEL,HLD4,HSP-60,HSP60,HSP65,HuCHA60,SPG13;heat shock 60kDa protein 1 (chaperonin)
hsa:7532;YWHAG,14-3-3GAMMA;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide
hsa:2625;GATA3,HDR,HDRS;GATA binding protein 3
hsa:285489;DOK7,C4orf25,CMS1B;docking protein 7
hsa:2309;FOXO3,AF6q21,FKHRL1,FKHRL1P2,FOXO2,FOXO3A;forkhead box O3
hsa:3084;NRG1,ARIA,GGF,GGF2,HGL,HRG,HRG1,HRGA,MST131,NDF,SMDF;neuregulin 1
hsa:114882;OSBPL8,MST120,MSTP120,ORP8,OSBP10;oxysterol binding protein-like 8
hsa:51135;IRAK4,IPD1,IRAK-4,NY-REN-64,REN64;interleukin-1 receptor-associated kinase 4 (EC:2.7.11.1)
hsa:6530;SLC6A2,NAT1,NET,NET1,SLC6A5;solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
hsa:4852;NPY,PYY4;neuropeptide Y
hsa:1785;DNM2,CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII;dynamin 2 (EC:3.6.5.5)
hsa:64127;NOD2,ACUG,BLAU,CARD15,CD,CLR16.3,IBD1,NLRC2,NOD2B,PSORAS1;nucleotide-binding oligomerization domain containing 2
hsa:943;TNFRSF8,CD30,D1S166E,Ki-1;tumor necrosis factor receptor superfamily, member 8
hsa:6730;SRP68;signal recognition particle 68kDa
hsa:3814;KISS1,HH13,KiSS-1;KiSS-1 metastasis-suppressor
hsa:6908;TBP,GTF2D,GTF2D1,HDL4,SCA17,TFIID;TATA box binding protein
hsa:4017;LOXL2,LOR2,WS9-14;lysyl oxidase-like 2 (EC:1.4.3.-)
hsa:1026;CDKN1A,CAP20,CDKN1,CIP1,MDA-6,P21,SDI1,WAF1,p21CIP1;cyclin-dependent kinase inhibitor 1A (p21, Cip1)
hsa:1439;CSF2RB,CD131,CDw131,IL3RB,IL5RB,SMDP5;colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
hsa:9557;CHD1L,ALC1,CHDL;chromodomain helicase DNA binding protein 1-like (EC:3.6.4.12)
hsa:759;CA1,CA-I,CAB,Car1;carbonic anhydrase I (EC:4.2.1.1)
hsa:32;ACACB,ACC2,ACCB,HACC275;acetyl-CoA carboxylase beta (EC:6.4.1.2 6.3.4.14)
hsa:4582;MUC1,CA_15-3,CD227,EMA,H23AG,KL-6,MAM6,MUC-1,MUC-1/SEC,MUC-1/X,MUC1/ZD,PEM,PEMT,PUM;mucin 1, cell surface associated
hsa:81671;VMP1,EPG3,TANGO5,TMEM49;vacuole membrane protein 1
hsa:619373;MBOAT4,GOAT,OACT4;membrane bound O-acyltransferase domain containing 4 (EC:2.3.1.-)
hsa:1499;CTNNB1,CTNNB,MRD19,armadillo;catenin (cadherin-associated protein), beta 1, 88kDa
hsa:7298;TYMS,HST422,TMS,TS;thymidylate synthetase (EC:2.1.1.45)
hsa:5627;PROS1,PROS,PS21,PS22,PS23,PS24,PS25,PSA,THPH5,THPH6;protein S (alpha)
hsa:1371;CPOX,CPO,CPX,HCP;coproporphyrinogen oxidase (EC:1.3.3.3)
hsa:6361;CCL17,A-152E5.3,ABCD-2,SCYA17,TARC;chemokine (C-C motif) ligand 17
hsa:682;BSG,5F7,CD147,EMMPRIN,M6,OK,TCSF;basigin (Ok blood group)
hsa:22925;PLA2R1,CLEC13C,PLA2-R,PLA2G1R,PLA2IR,PLA2R;phospholipase A2 receptor 1, 180kDa
hsa:859;CAV3,LGMD1C,LQT9,VIP-21,VIP21;caveolin 3
hsa:64946;CENPH;centromere protein H
hsa:5526;PPP2R5B,B56B,PR61B;protein phosphatase 2, regulatory subunit B', beta
hsa:288;ANK3,ANKYRIN-G;ankyrin 3, node of Ranvier (ankyrin G)
hsa:80339;PNPLA3,ADPN,C22orf20,iPLA(2)epsilon;patatin-like phospholipase domain containing 3 (EC:3.1.1.3)
hsa:3717;JAK2,JTK10,THCYT3;Janus kinase 2 (EC:2.7.10.2)
hsa:2915;GRM5,GPRC1E,MGLUR5,mGlu5;glutamate receptor, metabotropic 5
hsa:34;ACADM,ACAD1,MCAD,MCADH;acyl-CoA dehydrogenase, C-4 to C-12 straight chain (EC:1.3.8.7)
hsa:3065;HDAC1,GON-10,HD1,RPD3,RPD3L1;histone deacetylase 1 (EC:3.5.1.98)
hsa:5746;PTH2R,PTHR2;parathyroid hormone 2 receptor
hsa:1584;CYP11B1,CPN1,CYP11B,FHI,P450C11;cytochrome P450, family 11, subfamily B, polypeptide 1 (EC:1.14.15.4)
hsa:6910;TBX5,HOS;T-box 5
hsa:10563;CXCL13,ANGIE,ANGIE2,BCA-1,BCA1,BLC,BLR1L,SCYB13;chemokine (C-X-C motif) ligand 13
hsa:6741;SSB,LARP3,La;Sjogren syndrome antigen B (autoantigen La)
hsa:5892;RAD51D,BROVCA4,R51H3,RAD51L3,TRAD;RAD51 homolog D (S. cerevisiae)
hsa:590;BCHE,CHE1,E1;butyrylcholinesterase (EC:3.1.1.8)
hsa:200315;APOBEC3A,ARP3,PHRBN,bK150C2.1;apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A
hsa:199713;NLRP7,CLR19.4,HYDM,NALP7,NOD12,PAN7,PYPAF3;NLR family, pyrin domain containing 7
hsa:3875;KRT18,CYK18,K18;keratin 18
hsa:80312;TET1,CXXC6,LCX,bA119F7.1;tet methylcytosine dioxygenase 1 (EC:1.14.11.n2)
hsa:6348;CCL3,G0S19-1,LD78ALPHA,MIP-1-alpha,MIP1A,SCYA3;chemokine (C-C motif) ligand 3
hsa:4282;MIF,GIF,GLIF,MMIF;macrophage migration inhibitory factor (glycosylation-inhibiting factor) (EC:5.3.3.12 5.3.2.1)
hsa:1113;CHGA,CGA;chromogranin A (parathyroid secretory protein 1)
hsa:81620;CDT1,DUP,RIS2;chromatin licensing and DNA replication factor 1
hsa:4283;CXCL9,CMK,Humig,MIG,SCYB9,crg-10;chemokine (C-X-C motif) ligand 9
hsa:904;CCNT1,CCNT,CYCT1,HIVE1;cyclin T1
hsa:2305;FOXM1,FKHL16,FOXM1B,HFH-11,HFH11,HNF-3,INS-1,MPHOSPH2,MPP-2,MPP2,PIG29,TGT3,TRIDENT;forkhead box M1
hsa:5478;PPIA,CYPA,CYPH;peptidylprolyl isomerase A (cyclophilin A) (EC:5.2.1.8)
hsa:64210;MMS19,MET18,MMS19L,hMMS19;MMS19 nucleotide excision repair homolog (S. cerevisiae)
hsa:5460;POU5F1,OCT3,OCT4,OTF-3,OTF3,OTF4,Oct-3,Oct-4;POU class 5 homeobox 1
hsa:10155;TRIM28,KAP1,RNF96,TF1B,TIF1B;tripartite motif containing 28
hsa:6285;S100B,NEF,S100,S100-B,S100beta;S100 calcium binding protein B
hsa:23284;LPHN3,CIRL3,LEC3;latrophilin 3
hsa:3362;HTR6,5-HT6,5-HT6R;5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled
hsa:8437;RASAL1,RASAL;RAS protein activator like 1 (GAP1 like)
hsa:9021;SOCS3,ATOD4,CIS3,Cish3,SOCS-3,SSI-3,SSI3;suppressor of cytokine signaling 3
hsa:5168;ENPP2,ATX,ATX-X,AUTOTAXIN,LysoPLD,NPP2,PD-IALPHA,PDNP2;ectonucleotide pyrophosphatase/phosphodiesterase 2 (EC:3.1.4.39)
hsa:3678;ITGA5,CD49e,FNRA,VLA5A;integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
hsa:1843;DUSP1,CL100,HVH1,MKP-1,MKP1,PTPN10;dual specificity phosphatase 1 (EC:3.1.3.16 3.1.3.48)
hsa:26548;ITGB1BP2,CHORDC3,ITGB1BP,MELUSIN;integrin beta 1 binding protein (melusin) 2
hsa:3685;ITGAV,CD51,MSK8,VNRA,VTNR;integrin, alpha V
hsa:51657;STYXL1,DUSP24,MK-STYX;serine/threonine/tyrosine interacting-like 1
hsa:3664;IRF6,LPS,OFC6,PIT,PPS,PPS1,VWS,VWS1;interferon regulatory factor 6
hsa:5327;PLAT,T-PA,TPA;plasminogen activator, tissue (EC:3.4.21.68)
hsa:572;BAD,BBC2,BCL2L8;BCL2-associated agonist of cell death
hsa:154;ADRB2,ADRB2R,ADRBR,B2AR,BAR,BETA2AR;adrenoceptor beta 2, surface
hsa:4254;KITLG,FPH2,KL-1,Kitl,MGF,SCF,SF,SHEP7;KIT ligand
hsa:916;CD3E,T3E,TCRE;CD3e molecule, epsilon (CD3-TCR complex)
hsa:23411;SIRT1,SIR2L1;sirtuin 1
hsa:2357;FPR1,FMLP,FPR;formyl peptide receptor 1
hsa:639;PRDM1,BLIMP1,PRDI-BF1;PR domain containing 1, with ZNF domain
hsa:3746;KCNC1,KV3.1,KV4,NGK2;potassium voltage-gated channel, Shaw-related subfamily, member 1
hsa:2034;EPAS1,ECYT4,HIF2A,HLF,MOP2,PASD2,bHLHe73;endothelial PAS domain protein 1
hsa:79001;VKORC1,EDTP308,IMAGE3455200,MST134,MST576,VKCFD2,VKOR;vitamin K epoxide reductase complex, subunit 1 (EC:1.1.4.1)
hsa:64682;ANAPC1,APC1,MCPR,TSG24;anaphase promoting complex subunit 1
hsa:5100;PCDH8,ARCADLIN,PAPC;protocadherin 8
hsa:3486;IGFBP3,BP-53,IBP3;insulin-like growth factor binding protein 3
hsa:1950;EGF,HOMG4,URG;epidermal growth factor
hsa:3932;LCK,LSK,YT16,p56lck,pp58lck;lymphocyte-specific protein tyrosine kinase (EC:2.7.10.2)
hsa:9844;ELMO1,CED-12,CED12,ELMO-1;engulfment and cell motility 1
hsa:332;BIRC5,API4,EPR-1;baculoviral IAP repeat containing 5
hsa:4316;MMP7,MMP-7,MPSL1,PUMP-1;matrix metallopeptidase 7 (matrilysin, uterine) (EC:3.4.24.23)
hsa:5803;PTPRZ1,HPTPZ,HPTPzeta,PTP-ZETA,PTP18,PTPRZ,PTPZ,R-PTP-zeta-2,RPTPB,RPTPbeta,phosphacan;protein tyrosine phosphatase, receptor-type, Z polypeptide 1 (EC:3.1.3.48)
hsa:2739;GLO1,GLOD1,GLYI;glyoxalase I (EC:4.4.1.5)
hsa:285;ANGPT2,AGPT2,ANG2;angiopoietin 2
hsa:91252;SLC39A13;solute carrier family 39 (zinc transporter), member 13
hsa:3146;HMGB1,HMG1,HMG3,SBP-1;high mobility group box 1
hsa:7157;TP53,BCC7,LFS1,P53,TRP53;tumor protein p53
hsa:6510;SLC1A5,AAAT,ASCT2,ATBO,M7V1,M7VS1,R16,RDRC;solute carrier family 1 (neutral amino acid transporter), member 5
hsa:7454;WAS,IMD2,SCNX,THC,THC1,WASP;Wiskott-Aldrich syndrome
hsa:3110;MNX1,HB9,HLXB9,HOXHB9,SCRA1;motor neuron and pancreas homeobox 1
hsa:729238;SFTPA2,COLEC5,PSAP,PSP-A,PSPA,SFTP1,SFTPA2B,SP-A,SPA2,SPAII;surfactant protein A2
hsa:219771;CCNY,C10orf9,CBCP1,CCNX,CFP1;cyclin Y
hsa:867;CBL,C-CBL,CBL2,FRA11B,NSLL,RNF55;Cbl proto-oncogene, E3 ubiquitin protein ligase
hsa:146802;SLC47A2,MATE2,MATE2-B,MATE2-K,MATE2K;solute carrier family 47, member 2
hsa:57103;C12orf5,FR2BP,TIGAR;chromosome 12 open reading frame 5 (EC:3.1.3.46)
hsa:7098;TLR3,CD283,IIAE2;toll-like receptor 3
hsa:27342;RABGEF1,RABEX5,rabex-5;RAB guanine nucleotide exchange factor (GEF) 1
hsa:2638;GC,DBP,DBP/GC,GRD3,VDBG,VDBP;group-specific component (vitamin D binding protein) (EC:6.4.-.-)
hsa:351;APP,AAA,ABETA,ABPP,AD1,APPI,CTFgamma,CVAP,PN-II,PN2;amyloid beta (A4) precursor protein
hsa:114885;OSBPL11,ORP-11,ORP11,OSBP12,TCCCIA00292;oxysterol binding protein-like 11
hsa:6387;CXCL12,IRH,PBSF,SCYB12,SDF1,SDF1A,SDF1B,TLSF,TPAR1;chemokine (C-X-C motif) ligand 12
hsa:165918;RNF168,hRNF168;ring finger protein 168, E3 ubiquitin protein ligase
hsa:19;ABCA1,ABC-1,ABC1,CERP,HDLDT1,TGD;ATP-binding cassette, sub-family A (ABC1), member 1
hsa:846;CASR,CAR,EIG8,FHH,FIH,GPRC2A,HHC,HHC1,NSHPT,PCAR1;calcium-sensing receptor
